LIFESTAGE,PREMIUM_CUSTOMER,sum,mean,count
MIDAGE SINGLES/COUPLES,Budget,35514.8,7.074661354581674,5020
MIDAGE SINGLES/COUPLES,Mainstream,90803.85,7.647283981808995,11874
MIDAGE SINGLES/COUPLES,Premium,58432.65,7.112055744888024,8216
NEW FAMILIES,Budget,21928.45,7.297321131447587,3005
NEW FAMILIES,Mainstream,17013.9,7.3178064516129036,2325
NEW FAMILIES,Premium,11491.1,7.2316551290119575,1589
OLDER FAMILIES,Budget,168363.25,7.269570379965458,23160
OLDER FAMILIES,Mainstream,103445.55,7.262394692502107,14244
OLDER FAMILIES,Premium,81958.4,7.322944960686204,11192
OLDER SINGLES/COUPLES,Budget,136769.8,7.430314554245666,18407
OLDER SINGLES/COUPLES,Mainstream,133393.8,7.2821159515230915,18318
OLDER SINGLES/COUPLES,Premium,132263.15,7.449766249859186,17754
RETIREES,Budget,113147.8,7.4434445102295905,15201
RETIREES,Mainstream,155677.05,7.252261716202366,21466
RETIREES,Premium,97646.05,7.4561736408063535,13096
YOUNG FAMILIES,Budget,139345.85,7.287200606631106,19122
YOUNG FAMILIES,Mainstream,92788.75,7.189025335089486,12907
YOUNG FAMILIES,Premium,84025.5,7.266756032171582,11563
YOUNG SINGLES/COUPLES,Budget,61141.6,6.61562432373945,9242
YOUNG SINGLES/COUPLES,Mainstream,157621.6,7.558338927783639,20854
YOUNG SINGLES/COUPLES,Premium,41642.1,6.629851934405349,6281
