STORE_NBR,TOT_SALES
226,18905.45
88,16333.25
165,15973.75
40,15559.5
237,15539.5
58,15251.45
199,14797.0
4,14647.65
203,14551.6
26,14469.3
81,14361.95
201,14298.7
130,14289.65
72,14204.4
181,14108.45
217,13993.6
95,13915.5
261,13859.75
238,13708.4
210,13689.25
123,13468.4
125,13352.85
49,13287.7
75,13089.6
153,13042.05
194,13035.95
65,13015.05
231,12996.0
216,12993.1
59,12952.35
60,12927.7
250,12924.2
93,12813.8
3,12802.45
154,12699.25
7,12486.9
43,12384.55
213,12364.6
230,12287.0
36,12098.25
63,12085.0
156,12044.3
166,12029.85
179,11864.7
152,11855.8
79,11831.2
100,11830.7
128,11806.2
168,11797.6
175,11768.3
80,11756.9
133,11573.95
71,11550.8
259,11540.9
94,11474.65
112,11392.4
119,11338.5
178,11302.5
270,11293.95
69,11288.85
223,11248.15
157,11231.0
257,11223.5
269,11221.8
33,11164.0
114,11139.5
91,11021.9
137,10998.45
184,10937.55
160,10918.85
180,10872.5
138,10824.8
55,10760.15
106,10742.6
164,10718.9
13,10686.5
247,10651.5
86,10635.35
155,10628.95
227,10622.5
236,10621.0
62,10583.1
225,10566.6
113,10551.6
172,10545.6
57,10532.3
232,10485.3
105,10472.5
102,10440.7
97,10432.05
229,10417.9
196,10408.2
191,10404.7
109,10399.1
30,10359.5
116,10354.5
104,10344.4
221,10330.7
67,10326.0
207,10317.2
23,10305.8
10,10302.3
48,10213.4
39,10182.05
122,10101.6
101,10077.7
32,9983.5
183,9977.6
118,9938.55
83,9924.9
190,9884.2
147,9869.9
222,9788.6
162,9786.1
219,9771.6
129,9771.1
271,9721.8
110,9688.7
209,9666.7
45,9508.5
5,9500.8
15,9486.05
70,9483.0
241,9399.6
78,9381.25
28,9374.35
107,9302.7
208,9294.75
262,9261.1
24,9230.0
19,8972.9
212,8873.9
148,8819.0
144,8707.75
56,8393.05
202,5991.05
246,5954.2
242,5816.8
235,5728.15
173,5702.75
200,5544.6
260,5432.25
84,5396.3
142,5388.0
54,5370.85
25,5297.65
134,5246.35
21,5154.9
66,5142.0
27,5120.7
12,5009.9
150,4970.0
253,4918.7
64,4894.6
149,4865.0
126,4791.7
37,4728.45
171,4725.9
234,4712.3
29,4697.5
243,4677.6
251,4666.45
240,4655.5
272,4653.95
17,4636.6
174,4577.8
143,4554.7
47,4507.95
8,4499.2
182,4489.9
96,4386.7
215,4354.5
245,4305.6
34,4266.2
170,4248.3
228,4236.3
248,4186.1
82,4103.5
239,4086.85
9,4012.4
87,3991.6
115,3990.35
68,3927.5
73,3904.2
197,3882.7
145,3769.6
108,3733.1
22,3689.4
169,3534.7
121,3529.0
256,3491.4
103,3466.9
249,3388.2
18,3269.7
90,3163.1
38,3150.4
188,3086.0
77,3040.0
141,3025.4
46,3023.45
50,3009.8
220,3008.2
205,2966.8
187,2909.7
185,2868.6
255,2835.3
233,2826.9
176,2752.9
214,2720.4
53,2715.05
6,2684.9
163,2635.7
195,2608.25
268,2601.05
41,2570.2
264,2519.8
20,2519.25
131,2470.4
265,2433.4
111,2407.7
1,2393.6
89,2390.1
167,2297.6
74,2244.9
124,2118.4
136,2022.3
2,2005.8
51,2005.5
186,1906.7
151,1843.2
120,1810.15
266,1742.7
16,1632.1
254,1621.3
35,1608.9
98,1589.2
189,1386.9
61,562.9
132,495.40000000000003
52,465.3
204,456.0
218,419.0
14,410.7
224,392.9
135,380.1
127,376.9
192,361.3
158,350.9
139,340.3
159,338.9
44,336.2
258,335.9
161,335.2
244,331.75
263,300.5
267,275.4
146,275.1
42,257.8
198,252.7
140,244.9
99,221.9
177,211.2
117,161.8
31,14.8
85,13.9
193,13.1
92,9.2
206,7.6
252,7.4
11,6.699999999999999
76,6.0
211,5.2
